Year,Visitors,Start Date,End Date
2024,447655,2024-02-15,2024-02-25
2023,327600,2023-02-16,2023-02-26
2022,156472,2022-02-10,2022-02-20
2021,60410,2021-06-09,2021-06-20
2020,479365,2020-02-20,2020-03-01
2019,487504,2019-02-07,2019-02-17
2018,489791,2018-02-15,2018-02-25
2017,496471,2017-02-09,2017-02-19
2016,503900,2016-02-11,2016-02-21
2015,505771,2015-02-05,2015-02-15
2014,491316,2014-02-06,2014-02-16
2013,475822,2013-02-07,2013-02-17
2012,444402,2012-02-09,2012-02-19
2011,484860,2011-02-10,2011-02-20
2010,493336,2010-02-11,2010-02-21
2009,486955,2009-02-05,2009-02-15
2008,450115,2008-02-07,2008-02-17
